summary_nr,Event Date,Abstract Text,Event Description,Event Keywords,con_end,Construction End Use,build_stor,Building Stories,proj_cost,Project Cost,proj_type,Project Type,Degree of Injury,nature_of_inj,Nature of Injury,part_of_body,Part of Body,event_type,Event type,evn_factor,Environmental Factor,hum_factor,Human Factor,task_assigned,Task Assigned,hazsub,fat_cause,fall_ht
220982664,8/10/2017,"At 9:00 a.m. on August 10, 2017, an employee was operating a 400 ton Bliss Coin ""Knuckle"" mechanical power press. The press was actuated while the employee's right hand was in the point of operation. The employee's right ring and middle fingers were amputated. Coin ""Knuckle"" mechanical power press. The press was actuated while the employee's right hand was in the point of operation. The employee's right ring and middle fingers were amputated. ",EMPLOYEE'S FINGERS AMPUTATED WHILE OPERATING A 400 TON MECHA,"FINGER,MECHANICAL POWER PRESS,AMPUTATION,GUARD",0, ,0, ,0, ,0, ,Nonfatal,1,"Amputation, Crushing",10,Fingers,2,Caught in or between,2,Catch Point/Puncture Action,14,Other,1,Regularly Assigned,0,0,0
220973937,7/17/2017,"At 9:45 a.m. on July 17, 2017, an employee was using a battery operated drill to drill a hole on a wooden joist about 109 inches above the floor. The employee's right hand slipped from a drill grip, and the tip of his right hand glove got caught in the drill head. The entanglement caused amputation of the right ring finger. to drill a hole on a wooden joist about 109 inches above the floor. The employee's right hand slipped from a drill grip, and the tip of his right hand glove got caught in the drill head. The entanglement caused amputation of the right ring finger. ",EMPLOYEE'S FINGER IS CAUGHT IN DRILL AND IS AMPUTATED,"CAUGHT IN,DRIVE SHAFT,RESIDENTIAL CONSTRUCTION,AMPUTATION,DRILL",H,Other building,1,1,0, ,B,Alteration or rehabilitation,Nonfatal,9,Dislocation,10,Fingers,2,Caught in or between,18,Other,10,Position Inappropriate For Task,1,Regularly Assigned,0,0,0
220967632,6/30/2017,"At 7:30 a.m. on June 30, 2017, an employee was inserting a match fuze into a fireworks charge.  The fireworks exploded and both of the employee's hands were amputated. ",EMPLOYEE IS HOSPITALIZED AFTER BEING INJURED IN FIREWORKS EX,"AMPUTATED,EXPLOSION,FIREWORKS",0, ,0, ,0, ,0, ,Nonfatal,5,Fire Burn,12,Hand,14,Other,18,Other,4,Malfunction In Securing/Warning Op,2,Not Regularly Assigned,0,0,0
220969901,6/30/2017,"At 2:00 p.m. on June 30, 2017, an employee was installing a self-adhering membrane to a roof with a slope of 1.25 feet to 12 feet (vertical to horizontal). As the employee installed the last section of the membranehe determined that it was too wide. He folded over the membrane cap sheet lengthwise and began ripping it with a knife, all while walking backwards. Once the employee reached the edge of the roof, he stood up and inadvertently stepped backwards and fell of the roof. The employee sustained severe head trauma, a collapsed lung, as well as fractures to one of his clavicles and ribs. The employee was taken to a nearby medical facility where he was hospitalized and received treatment. ",EMPLOYEE FALLS FROM ROOF AND IS INJURED,"RIB,ROOF,HEAD,FALL PROTECTION,FALL,COLLARBONE,STRUCK AGAINST",C,Commercial building,1,1,D,"$500,000 to $1,000,000",B,Alteration or rehabilitation,Fatal,21,Serious Fall/Strike,13,Head,5,Fall (from elevation),13,Work-Surface/Facility-Layout Condition,14,Other,1,Regularly Assigned,0,15,0
220977748,6/23/2017,"At 12:20 p.m. on June 23, 2017, an employee was delivering a load of plywood to the project site. The employee cut the plastic straps holding the plywood together and it slid out from the truck bed, striking the employee.  The employee suffered a neck fracture and serious brain injury and was hospitalized. ",EMPLOYEE IS STRUCK BY PLYWOOD WHILE UNLOADING TRUCK AND IS S,"STRUCK BY,TRUCK,BRAIN,NECK,FRACTURE,UNSTABLE LOAD",0, ,0, ,0, ,0, ,Nonfatal,3,"Bruising, Contusion",20,Neck,1,Struck-by,6,Overhead Moving/Falling Object Action,15,Insufficient/Lack/Housekeeping Program,1,Regularly Assigned,0,0,0
220974562,6/22/2017,"At 9:07 a.m. on June 22, 2017, an employee was sorting pistachios inside an air-conditioned building.  The employee suddenly fainted, suffering from dehydration and heat illness.  He was not drinking the provided water. The employee was hospitalized. ",EMPLOYEE FAINTS WHILE SORTING CROP IN AIR-CONDITIONED FACILI,"UNCONSCIOUSNESS,FAINTED,HEAT EXHAUSTION,HEAT",0, ,0, ,0, ,0, ,Nonfatal,21,Serious Fall/Strike,4,Whole Body,14,Other,18,Other,14,Other,2,Not Regularly Assigned,0,0,0
220959936,5/31/2017,"At 11:00 p.m. on May 31, 2017, nineteen employees were completing several work activities at a dry corn milling facility that included flour milling operations, bulk and bag loading operations, forklift operations, and laboratory operations.  There was a report for a smoke fragrance and several employees went to investigate the source.  Two employees detected an explosion and fire in the basement of B mill and were exiting the mill when multiple explosions occurred.  Five employees were fatally injured due to burns and/or blunt force trauma.  Three employees received serious injuries requiring hospitalization, and nine employees received serious injuries requiring medical treatment. ",FIVE EMPLOYEE KILLED; TWELVE EMPLOYEE ARE HOSPITALIZED IN MU,"STRUCTURAL COLLAPSE,COMBUSTIBLE DUST,FIRE,AMPUTATION,EXPLOSION,CRUSHING",0, ,0, ,0, ,0, ,Fatal,5,Fire Burn,19,Internal Injuries,14,Other,11,Temperature +/- Tolerance Lev.,15,Insufficient/Lack/Housekeeping Program,1,Regularly Assigned,0,0,0
220960629,5/31/2017,"At 11:00 a.m. on May 31, 2017, an employee was operating an oil rig used for geothermal drilling while working on Phase 3 of the San Ysidro Land Port of Entry expansion project.  The employee was struck by metal hand assembly when it disconnected from the stovepipe assembly and it punctured the upper left area of his chest area.  Emergency Services was contacted and responded.  The employee was declared dead at the scene by the County Medical Examiner. ",EMPLOYEE IS STRUCK BY STOVEPIPE ASSEMBLY AND IS KILLED,"PIPE,OIL RIG,STRUCK BY,EMERGENCY RESPONSE",0, ,0, ,0, ,0, ,Fatal,3,"Bruising, Contusion",5,Ribs,1,Struck-by,11,Temperature +/- Tolerance Lev.,14,Other,1,Regularly Assigned,0,0,0
220959944,5/31/2017,"At 5:15 p.m. on May 31, 2017, an employee was applying adhesive to insulated foam board for wall siding operation.  The employee tripped over a 24 inch by 48 inch skylight that was covered with original manufactured plastic bubble cover and fell through it.  The employee fell approximately 30 feet before striking the concrete floor.  The employee sustained blunt force trauma to the head and body and was killed. ",EMPLOYEE FALLS THROUGH SKYLIGHT AND IS KILLED,"FALL,HEAD,ROOF,FLOOR OPENING",G,Sewer/water treatment plant,2,2,F,"$5,000,000 to $10,000,000",B,Alteration or rehabilitation,Fatal,21,Serious Fall/Strike,4,Whole Body,5,Fall (from elevation),18,Other,14,Other,2,Not Regularly Assigned,0,20,0
220959738,5/31/2017,"At 4:45 p.m. on May 31, 2017, an employee set up the rolling roof rigger portable suspension scaffold anchor and mounted the boatswain's chair scaffold.  The employee fell fourteen stories when the roof rigger toppled over and the employee was killed. ",EMPLOYEE FALLS FOURTEEN STORIES FROM SCAFFOLD AND IS KILLED,"ELEVATED WORK PLATFORM,FALL,SCAFFOLD",0, ,0, ,0, ,0, ,Fatal,12,"Fracture, Broken Bones",20,Neck,5,Fall (from elevation),13,Work-Surface/Facility-Layout Condition,9,Safety Devices Removed/Inoperable,1,Regularly Assigned,0,0,0
